kind;name;atom1_name;atom2_name;atom3_name;csd_target;csd_std;pdb_count;pdb_mean;pdb_std;pdb_3low;pdb_3high;pdb_4low;pdb_4high;
base;A/DA;C6;N1;C2;118.6;0.6;651941;118.5;0.7;114.4;121.7;109.5;125.8;
base;A/DA;N1;C2;N3;129.4;0.7;651916;129.3;0.7;126.5;133.6;118.2;137.4;
base;A/DA;C2;N3;C4;110.5;0.6;651915;110.6;0.8;104.7;113.9;99.1;121.0;
base;A/DA;N3;C4;C5;126.9;0.6;651915;126.8;0.8;123.2;131.4;117.8;138.2;
base;A/DA;C4;C5;C6;117.1;0.5;651940;117.0;0.6;114.5;120.3;112.1;124.2;
base;A/DA;C5;C6;N1;117.5;0.5;651941;117.7;0.7;113.9;121.0;109.5;125.6;
base;A/DA;N3;C4;N9;127.2;0.7;651914;127.4;0.8;123.0;131.0;115.2;136.2;
base;A/DA;C6;C5;N7;132.2;0.6;651941;132.2;0.9;126.7;135.3;119.4;139.0;
base;A/DA;C5;C4;N9;105.9;0.4;651939;105.8;0.6;103.1;108.5;100.6;111.3;
base;A/DA;C4;N9;C8;105.7;0.4;651913;105.8;0.7;102.1;109.1;98.9;115.2;
base;A/DA;N9;C8;N7;113.9;0.5;651915;113.9;0.8;110.6;118.4;105.9;122.4;
base;A/DA;C8;N7;C5;103.8;0.4;651915;103.8;0.7;98.8;106.6;93.8;109.5;
base;A/DA;N7;C5;C4;110.6;0.5;651940;110.8;0.7;108.0;114.9;104.2;119.2;
base;A/DA;N6;C6;N1;118.6;0.7;651939;118.7;1.1;113.6;124.8;108.5;131.8;
base;A/DA;N6;C6;C5;123.9;0.7;651939;123.6;1.1;117.8;128.4;112.0;133.1;
base;G/DG;C6;N1;C2;125.4;0.5;943087;125.0;0.6;121.6;127.7;117.4;131.3;
base;G/DG;N1;C2;N3;123.6;0.5;943089;124.1;0.6;121.4;127.7;118.9;131.9;
base;G/DG;C2;N3;C4;112.0;0.4;943089;111.9;0.7;108.2;114.8;102.5;118.9;
base;G/DG;N3;C4;C5;128.6;0.5;943089;128.5;0.8;125.1;132.0;120.9;138.9;
base;G/DG;C4;C5;C6;118.9;0.4;943087;119.0;0.6;116.4;122.2;113.4;125.7;
base;G/DG;C5;C6;N1;111.5;0.5;943088;111.5;0.7;108.0;114.8;102.9;118.8;
base;G/DG;N3;C4;N9;125.8;0.7;943087;126.1;1.0;122.0;130.0;112.6;133.5;
base;G/DG;C6;C5;N7;130.3;0.5;943088;130.2;0.9;125.8;133.5;120.8;136.2;
base;G/DG;C5;C4;N9;105.6;0.5;943090;105.4;0.6;102.7;108.1;100.6;110.7;
base;G/DG;C4;N9;C8;106.2;0.4;943090;106.3;0.7;103.1;109.6;99.8;112.4;
