kind;name;atom1_name;atom2_name;csd_target;csd_std;pdb_count;pdb_mean;pdb_std;pdb_3low;pdb_3high;pdb_4low;pdb_4high;
base;A/DA;N1;C2;1.339;0.007;651941;1.338;0.006;1.308;1.367;1.279;1.406;
base;A/DA;C2;N3;1.330;0.007;651916;1.331;0.006;1.302;1.355;1.276;1.405;
base;A/DA;N3;C4;1.346;0.006;651915;1.343;0.007;1.301;1.371;1.266;1.406;
base;A/DA;C4;C5;1.382;0.008;651938;1.382;0.007;1.345;1.413;1.312;1.457;
base;A/DA;C5;C6;1.406;0.008;651941;1.404;0.010;1.352;1.437;1.288;1.476;
base;A/DA;C6;N1;1.353;0.007;651940;1.349;0.007;1.311;1.377;1.277;1.409;
base;A/DA;C5;N7;1.388;0.007;651941;1.385;0.007;1.349;1.411;1.317;1.501;
base;A/DA;N7;C8;1.311;0.007;651916;1.310;0.005;1.286;1.332;1.267;1.378;
base;A/DA;C8;N9;1.370;0.008;651915;1.371;0.007;1.335;1.403;1.297;1.451;
base;A/DA;N9;C4;1.374;0.007;651939;1.373;0.009;1.323;1.406;1.276;1.448;
base;A/DA;C6;N6;1.334;0.007;651939;1.334;0.006;1.301;1.360;1.272;1.483;
base;G/DG;N1;C2;1.372;0.006;943090;1.372;0.007;1.335;1.399;1.304;1.433;
base;G/DG;C2;N3;1.327;0.005;943089;1.322;0.007;1.288;1.352;1.260;1.389;
base;G/DG;N3;C4;1.352;0.006;943089;1.349;0.007;1.312;1.376;1.280;1.402;
base;G/DG;C4;C5;1.379;0.006;943092;1.377;0.007;1.343;1.403;1.316;1.444;
base;G/DG;C5;C6;1.418;0.008;943088;1.417;0.009;1.374;1.450;1.334;1.486;
base;G/DG;C6;N1;1.392;0.006;943088;1.390;0.007;1.354;1.418;1.316;1.449;
base;G/DG;C5;N7;1.388;0.006;943093;1.387;0.006;1.355;1.411;1.325;1.445;
base;G/DG;N7;C8;1.308;0.006;943093;1.304;0.005;1.280;1.326;1.258;1.385;
base;G/DG;C8;N9;1.375;0.006;943091;1.372;0.007;1.338;1.398;1.306;1.443;
base;G/DG;N9;C4;1.374;0.006;943090;1.374;0.008;1.335;1.407;1.288;1.437;
base;G/DG;C6;O6;1.238;0.007;943053;1.237;0.007;1.205;1.270;1.178;1.322;
base;G/DG;C2;N2;1.338;0.007;943088;1.339;0.006;1.309;1.364;1.281;1.395;
base;U/DU;N1;C2;1.381;0.009;459255;1.381;0.010;1.334;1.424;1.293;1.474;
base;U/DU;C2;N3;1.373;0.008;459255;1.372;0.008;1.333;1.405;1.300;1.455;
base;U/DU;N3;C4;1.381;0.008;459255;1.378;0.008;1.336;1.411;1.302;1.454;
base;U/DU;C4;C5;1.432;0.008;459255;1.431;0.008;1.394;1.461;1.365;1.506;
base;U/DU;C5;C6;1.337;0.008;459253;1.336;0.006;1.307;1.359;1.282;1.490;
base;U/DU;C6;N1;1.374;0.008;459253;1.374;0.008;1.332;1.404;1.292;1.444;
base;U/DU;C2;O2;1.219;0.008;459256;1.218;0.007;1.179;1.249;1.147;1.282;
base;U/DU;C4;O4;1.231;0.008;459252;1.231;0.007;1.196;1.266;1.172;1.337;
base;T/DT;N1;C2;1.376;0.008;50206;1.378;0.007;1.351;1.420;1.333;1.485;
base;T/DT;C2;N3;1.372;0.007;50206;1.371;0.005;1.340;1.393;1.307;1.463;
base;T/DT;N3;C4;1.382;0.008;50206;1.382;0.005;1.348;1.405;1.314;1.434;
base;T/DT;C4;C5;1.446;0.008;50206;1.445;0.006;1.417;1.482;1.394;1.525;
base;T/DT;C5;C6;1.340;0.007;50206;1.342;0.005;1.319;1.374;1.278;1.462;
base;T/DT;C6;N1;1.381;0.007;50206;1.381;0.005;1.353;1.407;1.289;1.449;
base;T/DT;C2;O2;1.222;0.008;50202;1.219;0.005;1.192;1.248;1.158;1.274;
base;T/DT;C4;O4;1.229;0.008;50204;1.228;0.005;1.203;1.254;1.170;1.298;
base;T/DT;C7;C5;1.498;0.006;49950;1.499;0.005;1.472;1.525;1.447;1.586;
base;C/DC;N1;C2;1.395;0.009;718608;1.398;0.009;1.355;1.435;1.316;1.483;
base;C/DC;C2;N3;1.353;0.007;718608;1.353;0.007;1.321;1.381;1.290;1.413;
base;C/DC;N3;C4;1.337;0.008;718607;1.333;0.007;1.296;1.359;1.263;1.392;
base;C/DC;C4;C5;1.424;0.010;718606;1.423;0.007;1.389;1.449;1.364;1.480;
base;C/DC;C5;C6;1.338;0.008;718605;1.338;0.005;1.311;1.357;1.291;1.386;
base;C/DC;C6;N1;1.365;0.007;718607;1.366;0.007;1.328;1.391;1.294;1.418;
base;C/DC;C2;O2;1.240;0.008;718606;1.239;0.006;1.206;1.269;1.179;1.297;
base;C/DC;C4;N4;1.330;0.008;718603;1.334;0.006;1.301;1.357;1.270;1.384;
PO4;PO4==AA_0;OP1;P;1.487;0.01;272507;1.485;0.007;1.448;1.519;1.381;1.557;
PO4;PO4==AA_0;OP2;P;1.483;0.01;272519;1.486;0.008;1.444;1.524;1.359;1.566;
PO4;PO4==AA_0;O3';P;1.580;0.010;272526;1.605;0.008;1.561;1.640;1.491;1.682;
PO4;PO4==AA_0;O5';P;1.603;0.011;272526;1.591;0.007;1.558;1.621;1.533;1.656;
PO4;PO4==AA_0;O3';C3';1.422;0.010;272526;1.418;0.010;1.382;1.469;1.346;1.522;
PO4;PO4==AA_0;O5';C5';1.428;0.013;272526;1.418;0.009;1.370;1.456;1.284;1.499;
PO4;PO4==AA_1;OP1;P;1.483;0.010;127490;1.484;0.008;1.436;1.527;1.377;1.568;
